,feature,Light Gradient Boosting Machine,Gradient Boosting Classifier,Logistic Regression,mean_imp
0,1,0.0,0.0,0.0,0.0
1,2,0.0,0.0,0.0,0.0
2,3,0.0,0.0,0.0,0.0
3,4,0.0,0.0,0.0,0.0
4,5,0.0,0.0,0.0,0.0
5,6,0.0,0.0,0.0,0.0
6,7,0.0,0.0,0.0,0.0
7,8,0.0,0.0,0.0,0.0
8,9,0.0,0.0,0.0,0.0
9,10,0.0,0.0,0.0,0.0
10,11,0.0,0.0,0.0,0.0
11,12,0.0,0.0,0.0,0.0
12,13,0.0,0.0,0.0,0.0
13,14,0.0,0.0,0.0,0.0
14,15,0.0,0.0,0.0,0.0
15,16,0.0,0.0,0.0,0.0
16,17,0.0,0.0,0.0,0.0
17,18,0.0,0.0,0.0,0.0
18,19,0.0,0.0,0.0,0.0
19,20,0.0,0.0,0.0,0.0
20,21,0.0,0.0,0.0,0.0
21,22,0.0,0.0,0.0,0.0
22,23,0.0,0.0,0.0,0.0
23,24,0.0,0.0,0.0,0.0
24,25,0.0,0.0,0.0,0.0
25,26,0.0,0.0,0.0,0.0
26,27,0.0,0.0,0.0,0.0
27,28,0.0,0.0,0.0,0.0
28,29,0.0,0.0,0.0,0.0
29,30,0.0,0.0,0.0,0.0
30,31,0.0,0.0,0.0,0.0
31,32,0.0,0.0,0.0,0.0
32,33,0.0,0.0,0.0,0.0
33,34,0.0,0.0,0.0,0.0
34,35,0.0,0.0,0.0,0.0
35,36,0.0,0.0,0.0,0.0
36,37,0.0,0.0,0.0,0.0
37,38,0.0,0.0,0.0,0.0
38,39,0.0,0.0,0.0,0.0
39,40,0.0,0.0,0.0,0.0
40,41,0.0,0.0,0.0,0.0
41,42,0.0,0.0,0.0,0.0
42,43,0.0,0.0,0.0,0.0
43,44,0.0,0.0,0.0,0.0
44,45,0.0,0.0,0.0,0.0
45,46,0.0,0.0,0.0,0.0
46,47,0.0,0.0,0.0,0.0
47,48,0.0,0.0,0.0,0.0
48,49,0.0,0.0,0.0,0.0
49,50,0.0,0.0,0.0,0.0
50,51,0.0,0.0,0.0,0.0
51,52,0.0,0.0,0.0,0.0
52,53,0.0,0.0,0.0,0.0
53,54,0.0,0.0,0.0,0.0
54,55,0.0,0.0,0.0,0.0
55,56,0.0,0.0,0.0,0.0
56,57,0.0,0.0,0.0,0.0
57,58,0.0,0.0,0.0,0.0
58,59,0.0,0.0,0.0,0.0
59,60,0.0,0.0,0.0,0.0
60,61,0.0,0.0,0.0,0.0
61,62,0.0,0.0,0.0,0.0
62,63,0.0,0.0,0.0,0.0
63,64,0.0,0.0,0.0,0.0
64,65,0.0,0.0,0.0,0.0
65,66,0.3695652173913043,0.8848912672881164,0.7589486668607113,0.6711350505133774
66,67,0.017391304347826087,0.026856964857335647,0.09714002155592398,0.04712943025369524
67,68,0.266304347826087,0.5798793101813451,0.6721792629779768,0.506120973661803
68,69,0.23478260869565218,0.6308573801902192,0.3692829246198235,0.4116409711685649
69,70,0.34782608695652173,0.7605016134034102,0.6887837806014946,0.5990371603204755
70,71,0.2510869565217391,0.077703507837768,0.38143284064182936,0.23674110166711215
71,72,0.0,0.0,0.0,0.0
72,73,0.0,0.0,0.0,0.0
73,74,0.0,0.0,0.0,0.0
74,75,0.017391304347826087,0.026856964857335647,0.09714002155592398,0.04712943025369524
75,76,0.2,0.5416356400217414,0.42805158641059493,0.3898957421441121
76,77,0.16956521739130434,0.39599958466711654,0.47606152697768367,0.3472087763453682
77,78,0.26956521739130435,0.6845713099048905,0.5635629677316715,0.5058998316759554
78,79,0.02282608695652174,0.025387771245762213,0.14269950418705776,0.0636377874631139
79,80,0.0,0.0,0.0,0.0
80,81,0.034782608695652174,0.053713929714671295,0.19428004311184796,0.09425886050739048
81,82,0.14565217391304347,0.24479402014549226,0.3593709368659036,0.24993904364147979
82,83,0.0,0.0,0.0,0.0
83,84,0.0,0.0,0.0,0.0
84,85,0.0,0.0,0.0,0.0
85,86,0.0,0.0,0.0,0.0
86,87,0.0,0.0,0.0,0.0
87,88,0.0,0.0,0.0,0.0
88,89,0.0,0.0,0.0,0.0
89,90,0.0,0.0,0.0,0.0
90,91,0.0,0.0,0.0,0.0
91,92,0.0,0.0,0.0,0.0
92,93,0.0,0.0,0.0,0.0
93,94,0.0,0.0,0.0,0.0
94,95,0.13478260869565217,0.34228565495244523,0.28178148386583574,0.2529499158379777
95,96,0.13478260869565217,0.34228565495244523,0.28178148386583574,0.2529499158379777
96,97,0.1,0.25306391478396745,0.3405501456566072,0.2312046868135249
97,98,0.38913043478260867,0.3744721068170554,0.5827131171188685,0.4487718862395109
98,99,0.2532608695652174,0.4213633523241139,0.4708477691352828,0.3818239970082047
99,100,0.1,0.25306391478396745,0.3405501456566072,0.2312046868135249
100,101,0.1391304347826087,0.11094675324202688,0.5329539312118851,0.26101037307884023
101,102,0.0,0.0,0.0,0.0
102,103,0.0,0.0,0.0,0.0
103,104,0.0,0.0,0.0,0.0
104,105,0.0,0.0,0.0,0.0
105,106,0.0,0.0,0.0,0.0
106,107,0.0,0.0,0.0,0.0
107,108,0.0,0.0,0.0,0.0
108,109,0.0,0.0,0.0,0.0
109,110,0.0,0.0,0.0,0.0
110,111,0.21630434782608696,0.06881282513557105,0.3393886824335354,0.2081686184650645
111,112,0.32608695652173914,0.7285274978604527,0.6412652866486337,0.5652932470102752
112,113,0.30978260869565216,0.3868890270360406,0.7488566159010884,0.4818427505442604
113,114,0.16630434782608697,0.43887548614121397,0.4939497596808858,0.36637653121606223
114,115,0.14130434782608695,0.24467942913531882,0.3641784120396432,0.25005406300034966
115,116,0.0782608695652174,0.027229452973052244,0.2449016015809999,0.11679730803975652
116,117,0.13478260869565217,0.34228565495244523,0.28178148386583574,0.2529499158379777
117,118,0.034782608695652174,0.053713929714671295,0.19428004311184796,0.09425886050739048
118,119,0.16956521739130434,0.34609797268346987,0.3779933987844136,0.2978855296197293
119,120,0.26304347826086955,0.037729042393550294,0.43921913138408397,0.2466638840128346
120,121,0.23478260869565218,0.6308573801902192,0.3692829246198235,0.4116409711685649
121,122,0.25217391304347825,0.6577143450475548,0.4664229461757474,0.45877040142226017
122,123,0.6815217391304348,0.3826658287616204,1.0,0.688062522630685
123,124,0.34130434782608693,0.02953927745308728,0.6019060902166087,0.324249905165261
124,125,0.017391304347826087,0.026856964857335647,0.09714002155592398,0.04712943025369524
125,126,0.28369565217391307,0.6878414931493936,0.6425606440263839,0.5380325964498969
126,127,0.034782608695652174,0.053713929714671295,0.19428004311184796,0.09425886050739048
127,128,0.3,0.6646165396604042,0.5581318884363162,0.5075828093655735
128,129,0.0,0.0,0.0,0.0
129,130,0.21521739130434783,0.478936633184079,0.566604769339893,0.4202529312761066
130,131,0.13478260869565217,0.34228565495244523,0.28178148386583574,0.2529499158379777
131,132,0.0,0.0,0.0,0.0
132,133,0.0,0.0,0.0,0.0
133,134,0.11739130434782609,0.3154286900951096,0.18464146230991174,0.20582048558428245
134,135,0.017391304347826087,0.026856964857335647,0.09714002155592398,0.04712943025369524
135,136,0.37282608695652175,0.6708260049112303,0.725996611248749,0.5898829010388337
136,137,0.05217391304347826,0.08057089457200695,0.2914200646677719,0.14138829076108572
137,138,0.017391304347826087,0.026856964857335647,0.09714002155592398,0.04712943025369524
138,139,0.35978260869565215,0.1291517934048543,0.6259831954261647,0.371639199175557
139,140,0.483695652173913,0.0716768814960847,0.6669976758666764,0.40745673651222464
140,141,0.28695652173913044,0.7114282747622261,0.6607029892875953,0.5530292619296506
141,142,0.0,0.0,0.0,0.0
142,143,0.0,0.0,0.0,0.0
143,144,0.034782608695652174,0.053713929714671295,0.19428004311184796,0.09425886050739048
144,145,0.0,0.0,0.0,0.0
