	Opsin_Class
Bovine	9
S1	10
S2	10
S3	1
S4	6
S5	6
S6	5
S7	2
S8	4
S9	4
S10	8
S11	6
S12	8
S13	6
S14	8
S15	5
S16	10
S17	3
S18	3
S19	8
S20	10
S21	9
S22	7
S23	3
S24	10
S25	12
S26	7
S27	9
S28	8
S29	12
S30	9
S31	4
S32	8
S33	10
S34	2
S35	3
S36	10
S37	3
S38	5
S39	11
S40	8
S41	12
S42	8
S43	8
S44	9
S45	4
S46	5
S47	1
S48	7
S49	7
S50	7
S51	8
S52	6
S53	6
S54	7
S55	5
S56	8
S57	7
S58	9
S59	9
S60	6
S61	9
S62	9
S63	5
S64	7
S65	6
S66	6
S67	5
S68	4
S69	8
S70	9
S71	5
S72	9
S73	11
S74	10
S75	6
S76	10
S77	10
S78	10
S79	10
S80	1
S81	10
S82	10
S83	10
S84	7
S85	2
S86	2
S87	2
S88	2
S89	7
S90	2
S91	14
S92	4
S93	5
S94	12
S95	2
S96	5
S97	1
S98	12
S99	4
S100	10
S101	5
S102	8
S103	1
S104	3
S105	2
S106	1
S107	1
S108	7
S109	14
S110	10
S111	12
S112	2
S113	12
S114	4
S115	4
S116	1
S117	13
S118	11
S119	3
S120	3
S121	10
S122	3
S123	6
S124	5
S125	5
S126	4
S127	10
S128	12
S129	6
S130	8
S131	8
S132	6
S133	10
S134	4
S135	10
S136	2
S137	9
S138	4
S139	4
S140	10
S141	2
S142	4
S143	5
S144	10
S145	8
S146	6
S147	5
S148	10
S149	1
S150	6
S151	3
S152	3
S153	1
S154	1
S155	4
S156	0
S157	7
S158	7
S159	5
S160	7
S161	3
S162	1
S163	6
S164	13
S165	13
S166	0
S167	1
S168	0
S169	0
S170	1
S171	7
S172	5
S173	1
S174	5
S175	6
S176	6
S177	5
S178	1
S179	4
S180	0
S181	0
S182	3
S183	12
S184	0
S185	0
S186	0
S187	0
S188	0
S189	0
S190	1
S191	0
S192	1
S193	1
S194	1
S195	14
S196	14
S197	8
S198	9
S199	7
S200	8
S201	12
S202	9
S203	7
S204	10
S205	10
S206	9
S207	10
S208	9
S209	10
S210	10
S211	10
S212	8
S213	8
S214	9
S215	4
S216	3
S217	2
S218	10
S219	8
S220	10
S221	10
S222	13
S223	13
S224	14
S225	13
S226	13
S227	5
S228	11
S229	12
S230	2
S231	10
S232	10
S233	9
S234	12
S235	10
S236	10
S237	11
S238	3
S239	13
S240	12
S241	6
S242	0
S243	11
S244	12
S245	12
S246	12
S247	12
S248	10
S249	8
S250	9
S251	8
S252	2
S253	1
S254	10
S255	0
S256	14
S257	5
S258	0
S259	14
S260	6
S261	0
S262	14
S263	2
S264	1
S265	14
S266	5
S267	0
S268	14
S269	5
S270	0
S271	14
S272	6
S273	6
S274	14
S275	12
S276	13
S277	12
S278	12
S279	13
S280	12
S281	12
S282	14
S283	14
S284	13
S285	14
S286	14
S287	14
S288	14
S289	13
S290	13
S291	13
S292	14
S293	1
S294	0
S295	0
S296	0
S297	3
S298	2
S299	1
S300	8
S301	0
S302	0
S303	1
S304	3
S305	12
S306	14
S307	14
S308	2
S309	10
S310	12
S311	12
S312	5
S313	12
S314	2
S315	12
S316	3
S317	12
S318	12
S319	12
S320	12
S321	13
S322	11
S323	3
S324	5
S325	5
S326	4
S327	12
S328	3
S329	4
S330	1
S331	14
S332	3
S333	8
S334	7
S335	6
S336	9
S337	1
S338	6
S339	6
S340	13
S341	5
S342	2
S343	8
S344	8
S345	10
S346	8
S347	9
S348	8
S349	1
S350	1
S351	1
S352	2
S353	1
S354	6
S355	4
