,feature,Logistic Regression,Light Gradient Boosting Machine,Ridge Classifier,mean_imp
0,1,0.0,0.0,0.0,0.0
1,2,0.0,0.0,0.0,0.0
2,3,0.0,0.0,0.0,0.0
3,4,0.0,0.0,0.0,0.0
4,5,0.0,0.0,0.0,0.0
5,6,0.0,0.0,0.0,0.0
6,7,0.0,0.0,0.0,0.0
7,8,0.0,0.0,0.0,0.0
8,9,0.0,0.0,0.0,0.0
9,10,0.0,0.0,0.0,0.0
10,11,0.0,0.0,0.0,0.0
11,12,0.0,0.0,0.0,0.0
12,13,0.0,0.0,0.0,0.0
13,14,0.0,0.0,0.0,0.0
14,15,0.0,0.0,0.0,0.0
15,16,0.0,0.0,0.0,0.0
16,17,0.0,0.0,0.0,0.0
17,18,0.0,0.0,0.0,0.0
18,19,0.0,0.0,0.0,0.0
19,20,0.0,0.0,0.0,0.0
20,21,0.0,0.0,0.0,0.0
21,22,0.0,0.0,0.0,0.0
22,23,0.0,0.0,0.0,0.0
23,24,0.0,0.0,0.0,0.0
24,25,0.0,0.0,0.0,0.0
25,26,0.0,0.0,0.0,0.0
26,27,0.0,0.0,0.0,0.0
27,28,0.0,0.0,0.0,0.0
28,29,0.0,0.0,0.0,0.0
29,30,0.0,0.0,0.0,0.0
30,31,0.0,0.0,0.0,0.0
31,32,0.0,0.0,0.0,0.0
32,33,0.0,0.0,0.0,0.0
33,34,0.0,0.0,0.0,0.0
34,35,0.0,0.0,0.0,0.0
35,36,0.0,0.0,0.0,0.0
36,37,0.0,0.0,0.0,0.0
37,38,0.0,0.0,0.0,0.0
38,39,0.0,0.0,0.0,0.0
39,40,0.0,0.0,0.0,0.0
40,41,0.0,0.0,0.0,0.0
41,42,0.0,0.0,0.0,0.0
42,43,0.0,0.0,0.0,0.0
43,44,0.0,0.0,0.0,0.0
44,45,0.0,0.0,0.0,0.0
45,46,0.0,0.0,0.0,0.0
46,47,0.0,0.0,0.0,0.0
47,48,0.0,0.0,0.0,0.0
48,49,0.0,0.0,0.0,0.0
49,50,0.0,0.0,0.0,0.0
50,51,0.0,0.0,0.0,0.0
51,52,0.0,0.0,0.0,0.0
52,53,0.0,0.0,0.0,0.0
53,54,0.0,0.0,0.0,0.0
54,55,0.0,0.0,0.0,0.0
55,56,0.0,0.0,0.0,0.0
56,57,0.0,0.0,0.0,0.0
57,58,0.0,0.0,0.0,0.0
58,59,0.0,0.0,0.0,0.0
59,60,0.0,0.0,0.0,0.0
60,61,0.0,0.0,0.0,0.0
61,62,0.0,0.0,0.0,0.0
62,63,0.0,0.0,0.0,0.0
63,64,0.0,0.0,0.0,0.0
64,65,0.0,0.0,0.0,0.0
65,66,0.7186190859539157,0.5372023809523809,0.9965747022122321,0.7507987230395096
66,67,0.09521559540679468,0.019345238095238096,0.16433799929461423,0.09296627759888233
67,68,0.6461994780761801,0.40327380952380953,0.7807710798871901,0.6100814558290598
68,69,0.36455240296709307,0.38095238095238093,0.38633806510654106,0.3772809496753384
69,70,0.687006205275948,0.5386904761904762,0.8604829096829154,0.6953931970497799
70,71,0.37787115711741803,0.3005952380952381,0.40865046517058257,0.36237228679441297
71,72,0.0,0.0,0.0,0.0
72,73,0.0,0.0,0.0,0.0
73,74,0.0,0.0,0.0,0.0
74,75,0.09521559540679468,0.019345238095238096,0.16433799929461423,0.09296627759888233
75,76,0.4066057022034876,0.30357142857142855,0.5420808626702713,0.4174193311483958
76,77,0.4679229877039306,0.24851190476190477,0.6861830304371133,0.46753930763431617
77,78,0.5549835937806824,0.41964285714285715,0.7150140636957695,0.5632135048731031
78,79,0.12288105684484635,0.025297619047619048,0.12237053958677532,0.09018307182641357
79,80,0.0,0.0,0.0,0.0
80,81,0.19043119081358936,0.03869047619047619,0.32867599858922847,0.18593255519776467
81,82,0.346924222368675,0.20982142857142858,0.41949106018327065,0.3254122370411247
82,83,0.0,0.0,0.0,0.0
83,84,0.0,0.0,0.0,0.0
84,85,0.0,0.0,0.0,0.0
85,86,0.0,0.0,0.0,0.0
86,87,0.0,0.0,0.0,0.0
87,88,0.0,0.0,0.0,0.0
88,89,0.0,0.0,0.0,0.0
89,90,0.0,0.0,0.0,0.0
90,91,0.0,0.0,0.0,0.0
91,92,0.0,0.0,0.0,0.0
92,93,0.0,0.0,0.0,0.0
93,94,0.0,0.0,0.0,0.0
94,95,0.45976799837388777,0.40029761904761907,0.5506760644011554,0.4702472272742207
95,96,0.2760849551263286,0.27827380952380953,0.2833020973320853,0.27922028732740783
96,97,0.3195450961267357,0.1324404761904762,0.513249829411615,0.32174513390960896
97,98,0.5725339043095765,0.5803571428571429,0.6090320179343295,0.5873076883670163
98,99,0.5169565299741895,0.41220238095238093,0.7713239673614312,0.5668276260960005
99,100,0.3195450961267357,0.1324404761904762,0.513249829411615,0.32174513390960896
100,101,0.565066387967439,0.25892857142857145,0.91622225262617,0.5800724040073936
101,102,0.0,0.0,0.0,0.0
102,103,0.0,0.0,0.0,0.0
103,104,0.0,0.0,0.0,0.0
104,105,0.0,0.0,0.0,0.0
105,106,0.0,0.0,0.0,0.0
106,107,0.0,0.0,0.0,0.0
107,108,0.0,0.0,0.0,0.0
108,109,0.0,0.0,0.0,0.0
109,110,0.0,0.0,0.0,0.0
110,111,0.3311451979491272,0.30357142857142855,0.3419080910927252,0.32554157253776034
111,112,0.6572323402593169,0.47023809523809523,0.7095131140686891,0.612327849855367
112,113,0.755816218513941,0.5074404761904762,0.8047443232035401,0.6893336726359859
113,114,0.37270739229713584,0.22916666666666666,0.521845031142499,0.3745730300354338
114,115,0.3121962550255664,0.13392857142857142,0.4869827349155905,0.31103585378990944
115,116,0.4419933911879476,0.15922619047619047,0.5309550942399822,0.37739155863470675
116,117,0.2774917968903412,0.20982142857142858,0.35750703184788474,0.28160675243655153
117,118,0.19043119081358936,0.03869047619047619,0.32867599858922847,0.18593255519776467
118,119,0.3810375591898879,0.2261904761904762,0.5008294618045147,0.3693524990616262
119,120,0.4337161356894962,0.38392857142857145,0.3211358236957089,0.37959351027125887
120,121,0.36455240296709307,0.38095238095238093,0.38633806510654106,0.3772809496753384
121,122,0.37270739229713584,0.22916666666666666,0.521845031142499,0.3745730300354338
122,123,1.0,0.8943452380952381,0.7533814613242167,0.8825755664731516
123,124,0.5122817580664669,0.4806547619047619,0.4269901533000123,0.4733088910904137
124,125,0.09521559540679468,0.019345238095238096,0.16433799929461423,0.09296627759888233
125,126,0.6204826081022367,0.5119047619047619,0.8030556045023283,0.6451476581697756
126,127,0.19043119081358936,0.03869047619047619,0.32867599858922847,0.18593255519776467
127,128,0.5526931029877833,0.43005952380952384,0.6951779469151137,0.5593101912374736
128,129,0.0,0.0,0.0,0.0
129,130,0.5579217480998822,0.3244047619047619,0.560235201032865,0.48085390367916964
130,131,0.4878039628522544,0.4330357142857143,0.48838511745264157,0.46974159819687006
131,132,0.0,0.0,0.0,0.0
132,133,0.0,0.0,0.0,0.0
133,134,0.18227620148354653,0.19047619047619047,0.19316903255327053,0.1886404748376692
134,135,0.09521559540679468,0.019345238095238096,0.16433799929461423,0.09296627759888233
135,136,0.7389779006152754,0.5625,0.7988750218956563,0.7001176408369773
136,137,0.28564678622038403,0.05803571428571429,0.49301399788384265,0.278898832796647
137,138,0.09521559540679468,0.019345238095238096,0.16433799929461423,0.09296627759888233
138,139,0.5470002080559551,0.5401785714285714,0.8395633572247961,0.6422473789031075
139,140,0.6872812913035112,0.6473214285714286,0.8299387090682169,0.7215138096477189
140,141,0.6501991891874772,0.43898809523809523,0.8793520629903837,0.6561797824719854
141,142,0.0,0.0,0.0,0.0
142,143,0.0,0.0,0.0,0.0
143,144,0.19043119081358936,0.03869047619047619,0.32867599858922847,0.18593255519776467
144,145,0.0,0.0,0.0,0.0
