Abramis brama
Alburnus alburnus
Blicca bjoerkna
Carassius carassius
Scardinius erythrophthalmus
Tinca tinca
Fundulus heteroclitus
Poecilia parae
Poecilia latipinna
Poecilia mexicana
Poecilia formosa
Megalops atlanticus
Gaidropsarus mediterraneus
Microgadus proximus
Theragra chalcogramma
Poecilia reticulata
Merluccius puctus
Aulorhynchus flavidus
Aulostomus chinensis
Gasterosteus aculeatus
Spinachia spinachia
Gobiesox maecmdricus
Hypomesus pretiosus
Osmerus dentex
Spirinchus thaleichthys
Acanthurus nigroris
Acanthurus achilles
Naso lituratus
Naso unicornis
Zebrasoma veliferum
Zebrasoma flavescens
Ammodytes hexapterus
Apogon kallopterus
Ronquilus jordani
Lipophyrs pholis
Plagiotremus rhinorhynchos
Trachurus mediterraneus
Spicara smaris
Lepomis macrochirus
Micropterus salmoides
Chaetodon kleini
Chaetodon unimaculatus
Forcipiger flavissimus
Aequidens pulcher
Aulonocara hueseri
Copadichromis borleyi
Haplochromis burtoni
Haplochromis pyrrhocephalus
Haplochromis ishmaeli
Haplochromis piceatus
Lethrinops parvidens
Melanochromis auratus
Metriaclima barlowi
Metriaclima livingstonii
Metriaclima melabranchion
Mylochromis lateristriga
Protomelas taeniolatus
Pseudotropheus tropheops
Pundamilia azurea
Pundamilia nyererei
Pundamilia luanso
Tyrannochromis macrostoma
Embiotoca lateralis
Embiotoca jacksoni
Hypsurus caryi
Micrometrus minimus
Micrometrus aurora
Rhacochilus vacca
Zalembius rosaceus
Asterropteryx semipunctata
Gobius paganellus
Gobiusculus flavescens
Kuhlia sandvicensis
Bodianus bilunnulatus
Lutjanus adetii
Lutjanus bohar
Lutjanus carponotatus
Lutjanus erythropterus
Lutjanus malabaricus
Lutjanus quinquelineatus
Lutjanus russellii
Lutjanus sebae
Lutjanus johnii
Mulloidichthys flavolineatus
Mullus barbatus
Parupeneus multifasceatus
Trematomus bernacchii
Trematomus hansoni
Perca fluviatilis
Sander lucioperca
Apodichthys flavidus
Pholis omata
Pholis laeta
Abudefduf abdominalis
Chromis hanui
Chromis ovalis
Chromis vanderbilti
Chromis verater
Dascyllus albisella
Plectroglyphidodon johnstonianus
Pomacentrus melanochir
Stegastes fasciolatus
Diplodus annularis
Sphyraena barracuda
Acantholumpenus mackayi
Anoplarchus purpurescens
Chirolophis japonicus
Ernogrammus hexagrammus
Lumpenus sagitta
Opisthocentrus ocellatus
Pholidapus dybowsky
Phytichthys chirus
Stichaeopsis nana
Stichaeus grigorjewi
Stichaeus nozawae
Xiphister mucosus
Xiphister atropurpureus
Peprilus simillimus
Trichodon trichodon
Zanclus cornutus
Lycodes pacificus
Zoarces viviparus
Citharichthys sordidus
Hippoglossoides herzensteini
Hippoglossoides elassodon
Isopsetta isolepis
Lepidopsetta bilineata
Lepidopsetta polyxystra
Limanda limanda
Lyopsetta exilis
Microstomus kitt
Parophrys vetulus
Platichthys stellatus
Platichthys flesus
Pleuronectes asper
Pleuronectes herzensteini
Pleuronectes obscurus
Salmo trutta
Salmo irideus
Abyssocottus korotneffi
Cottinella boulengeri
Limnocottus eurystomus
Limnocottus griseus
Procottus jettelesii
Bothragonus swani
Podothecus acipenserinus
Artedius fenestrates
Artedius harringtoni
Artedius meanyi
Ascelichthys rhodorus
Bero elegans
Clinocottus globiceps
Enophrys bison
Enophrys diceraus
Gymnocanthus pistilliger
Gymnocanthus intermedius
Hemilepidotus hemilepidotus
Icelinus borealis
Jordania zonope
Leptocottus armatus
Megalocottus platycephalus
Microcottus sellaris
Myoxocephalus potyacanthocephalus
Myoxocephalus stelleri
Myoxocephalus brandti
Myoxocephalus jack
Oligocottus maculosus
Scorpaenichthys marmoratus
Taurulus bubalis
Triglops pingelii
Triglopsis quadricornis
Batrachocottus baicalensis
Batrachocottus multiradiatus
Cottocomephorus grewingkii
Paracottus knerii
Eumicrotremus orbis
Blepsias cirrhosus
Hemitripterus villosus
Nautichthys oculofasciatus
Hexagrammos decagrammus
Hexagrammos octogrammus
Hexagrammos stelleri
Ophiodon elongatus
Pleurogrammus azonus
Liparis dennyi
Liparis pulchellus
Liparis florae
Liparis greeni
Dasycottus setiger
Gilbertidia sigalutes
Psychrobites paradoxus
Rhamphocottus richardsonii
Dendrochirus zebra
Scorpaena porcus
Sebastes auriculatus
Sebastes caurinus
Sebastes empaeus
Chelidonichthys lucernus
Eutrigla gurnardus
Ictalurus catus
Ictalurus melas
Hippocampus subelongatus
Hippocampus barbouri
Stigmatopora argus
Sygnathus leptorhynchus
Canthidermis maculatus
Sufflamen bursa
Pergavor spilosoma
Pergavor aspricaudus
Ostracion meleagris
Arothron meleagris
Cavia porcellus
Serinus canaria
Dasyatis fluviorum
Himantura fai
Neotrygon kuhlii
Neotrygon kuhlii
Taeniura lymma
Gymnura australis
Aetobatus narinari
Aptychotrema rostrata
Aptychotrema rostrata
Aptychotrema vincentiana
Aptychotrema vincentiana
Glaucostegus typus
Glaucostegus typus
Trygonorrhina fasciata
Rhinobatos lentiginosus
Rhinobatos lentiginosus
Rhinoptera bonasus
Rhynchobatus australiae
Trygonoptera testacea
Urobatis jamaicensis
Carcharhinus amboinensis
Carcharhinus amblyrhynchos
Carcharhinus leucas
Carcharhinus limbatus
Carcharhinus melanopterus
Carcharhinus melanopterus
Carcharhinus obscurus
Rhizoprionodon taylori
